,Year Mnth Day Hr,prcp(mm/day)
0,1980 01 01 12,0.0
1,1980 01 02 12,0.0
2,1980 01 03 12,0.0
3,1980 01 04 12,2.26
4,1980 01 05 12,0.0
5,1980 01 06 12,0.0
6,1980 01 07 12,4.17
7,1980 01 08 12,0.0
8,1980 01 09 12,12.7
9,1980 01 10 12,0.0
10,1980 01 11 12,53.77
11,1980 01 12 12,0.0
12,1980 01 13 12,0.0
13,1980 01 14 12,0.0
14,1980 01 15 12,0.0
15,1980 01 16 12,7.57
16,1980 01 17 12,19.31
17,1980 01 18 12,13.47
18,1980 01 19 12,0.0
19,1980 01 20 12,0.0
20,1980 01 21 12,0.0
21,1980 01 22 12,11.44
22,1980 01 23 12,17.51
23,1980 01 24 12,0.0
24,1980 01 25 12,0.03
25,1980 01 26 12,5.47
26,1980 01 27 12,0.0
27,1980 01 28 12,0.0
28,1980 01 29 12,0.0
29,1980 01 30 12,0.0
30,1980 01 31 12,6.3
31,1980 02 01 12,0.0
32,1980 02 02 12,0.0
33,1980 02 03 12,0.0
34,1980 02 04 12,0.0
35,1980 02 05 12,0.0
36,1980 02 06 12,9.4
37,1980 02 07 12,0.0
38,1980 02 08 12,0.0
39,1980 02 09 12,23.42
40,1980 02 10 12,4.16
41,1980 02 11 12,0.0
42,1980 02 12 12,0.0
43,1980 02 13 12,0.0
44,1980 02 14 12,0.0
45,1980 02 15 12,0.0
46,1980 02 16 12,9.66
47,1980 02 17 12,5.95
48,1980 02 18 12,0.0
49,1980 02 19 12,0.0
50,1980 02 20 12,0.0
51,1980 02 21 12,0.0
52,1980 02 22 12,6.9
53,1980 02 23 12,0.0
54,1980 02 24 12,0.0
55,1980 02 25 12,0.0
56,1980 02 26 12,0.0
57,1980 02 27 12,0.0
58,1980 02 28 12,0.0
59,1980 02 29 12,0.0
60,1980 03 01 12,35.63
61,1980 03 02 12,0.0
62,1980 03 03 12,0.0
63,1980 03 04 12,0.0
64,1980 03 05 12,7.98
65,1980 03 06 12,0.0
66,1980 03 07 12,27.48
67,1980 03 08 12,57.44
68,1980 03 09 12,0.0
69,1980 03 10 12,7.74
70,1980 03 11 12,0.0
71,1980 03 12 12,0.0
72,1980 03 13 12,0.0
73,1980 03 14 12,0.0
74,1980 03 15 12,0.0
75,1980 03 16 12,0.0
76,1980 03 17 12,30.31
77,1980 03 18 12,28.57
78,1980 03 19 12,0.07
79,1980 03 20 12,5.0
80,1980 03 21 12,14.5
81,1980 03 22 12,0.0
82,1980 03 23 12,0.0
83,1980 03 24 12,17.25
84,1980 03 25 12,0.0
85,1980 03 26 12,32.6
86,1980 03 27 12,15.82
87,1980 03 28 12,69.02
88,1980 03 29 12,20.9
89,1980 03 30 12,59.12
90,1980 03 31 12,0.0
91,1980 04 01 12,0.0
92,1980 04 02 12,36.37
93,1980 04 03 12,25.84
94,1980 04 04 12,0.29
95,1980 04 05 12,0.0
96,1980 04 06 12,0.0
97,1980 04 07 12,7.35
98,1980 04 08 12,19.94
99,1980 04 09 12,0.0
100,1980 04 10 12,0.0
101,1980 04 11 12,0.46
102,1980 04 12 12,42.67
103,1980 04 13 12,76.61
104,1980 04 14 12,10.28
105,1980 04 15 12,0.0
106,1980 04 16 12,0.0
107,1980 04 17 12,0.0
108,1980 04 18 12,14.34
109,1980 04 19 12,13.69
110,1980 04 20 12,0.0
111,1980 04 21 12,0.0
112,1980 04 22 12,0.0
113,1980 04 23 12,0.0
114,1980 04 24 12,0.0
115,1980 04 25 12,0.0
116,1980 04 26 12,71.19
117,1980 04 27 12,0.0
118,1980 04 28 12,0.0
119,1980 04 29 12,0.0
120,1980 04 30 12,0.0
121,1980 05 01 12,0.0
122,1980 05 02 12,0.0
123,1980 05 03 12,16.51
124,1980 05 04 12,0.0
125,1980 05 05 12,0.0
126,1980 05 06 12,0.0
127,1980 05 07 12,0.0
128,1980 05 08 12,8.9
129,1980 05 09 12,5.26
130,1980 05 10 12,0.0
131,1980 05 11 12,0.0
132,1980 05 12 12,0.0
133,1980 05 13 12,0.0
134,1980 05 14 12,0.75
135,1980 05 15 12,11.35
136,1980 05 16 12,61.36
137,1980 05 17 12,69.85
138,1980 05 18 12,0.0
139,1980 05 19 12,53.2
140,1980 05 20 12,61.94
141,1980 05 21 12,0.0
142,1980 05 22 12,10.51
143,1980 05 23 12,4.26
144,1980 05 24 12,0.0
145,1980 05 25 12,0.0
146,1980 05 26 12,0.0
147,1980 05 27 12,0.0
148,1980 05 28 12,0.0
149,1980 05 29 12,0.0
150,1980 05 30 12,0.0
151,1980 05 31 12,0.0
152,1980 06 01 12,0.0
153,1980 06 02 12,0.0
154,1980 06 03 12,0.0
155,1980 06 04 12,0.0
156,1980 06 05 12,0.0
157,1980 06 06 12,0.0
158,1980 06 07 12,0.0
159,1980 06 08 12,0.0
160,1980 06 09 12,5.32
161,1980 06 10 12,0.0
162,1980 06 11 12,0.0
163,1980 06 12 12,0.0
164,1980 06 13 12,0.0
165,1980 06 14 12,0.0
166,1980 06 15 12,0.0
167,1980 06 16 12,0.0
168,1980 06 17 12,0.0
169,1980 06 18 12,2.57
170,1980 06 19 12,13.36
171,1980 06 20 12,12.58
172,1980 06 21 12,0.0
173,1980 06 22 12,0.0
174,1980 06 23 12,25.12
175,1980 06 24 12,23.32
176,1980 06 25 12,12.13
177,1980 06 26 12,0.0
178,1980 06 27 12,0.0
179,1980 06 28 12,0.0
180,1980 06 29 12,0.0
181,1980 06 30 12,0.0
182,1980 07 01 12,0.0
183,1980 07 02 12,0.0
184,1980 07 03 12,0.0
185,1980 07 04 12,0.0
186,1980 07 05 12,0.0
187,1980 07 06 12,0.0
188,1980 07 07 12,0.0
189,1980 07 08 12,11.1
190,1980 07 09 12,0.0
191,1980 07 10 12,0.0
192,1980 07 11 12,0.0
193,1980 07 12 12,0.0
194,1980 07 13 12,0.0
195,1980 07 14 12,0.0
196,1980 07 15 12,0.0
197,1980 07 16 12,0.0
198,1980 07 17 12,10.06
199,1980 07 18 12,0.0
200,1980 07 19 12,0.0
201,1980 07 20 12,16.16
202,1980 07 21 12,18.22
203,1980 07 22 12,11.55
204,1980 07 23 12,17.96
205,1980 07 24 12,0.0
206,1980 07 25 12,0.0
207,1980 07 26 12,0.0
208,1980 07 27 12,0.13
209,1980 07 28 12,5.54
210,1980 07 29 12,0.0
211,1980 07 30 12,0.0
212,1980 07 31 12,0.0
213,1980 08 01 12,0.0
214,1980 08 02 12,5.03
215,1980 08 03 12,0.91
216,1980 08 04 12,0.0
217,1980 08 05 12,0.0
218,1980 08 06 12,0.0
219,1980 08 07 12,0.0
220,1980 08 08 12,0.0
221,1980 08 09 12,0.0
222,1980 08 10 12,0.0
223,1980 08 11 12,8.66
224,1980 08 12 12,0.0
225,1980 08 13 12,0.0
226,1980 08 14 12,4.75
227,1980 08 15 12,0.0
228,1980 08 16 12,0.0
229,1980 08 17 12,0.0
230,1980 08 18 12,0.0
231,1980 08 19 12,0.0
232,1980 08 20 12,0.0
233,1980 08 21 12,0.0
234,1980 08 22 12,0.0
235,1980 08 23 12,0.0
236,1980 08 24 12,0.0
237,1980 08 25 12,0.0
238,1980 08 26 12,0.0
239,1980 08 27 12,0.0
240,1980 08 28 12,0.0
241,1980 08 29 12,0.0
