,inv_y,inv_yhat
0,67.0,53.012966
1,90.0,68.16121
2,81.0,66.91744
3,85.0,62.449413
4,103.0,83.18992
5,86.0,73.36877
6,76.0,67.11269
7,71.0,59.966618
8,83.0,57.48346
9,351.0,64.69091
10,600.0,367.07568
11,241.0,313.1568
12,154.0,141.5608
13,129.0,98.64184
14,115.0,86.26108
15,109.0,79.320915
16,116.0,86.71825
17,112.0,81.84758
18,100.0,79.32963
19,92.0,71.88027
20,88.0,67.91014
21,103.0,65.92466
22,120.99999,105.36899
23,97.0,82.29582
24,88.0,70.39162
25,118.99999,65.92466
26,199.0,107.91988
27,128.0,120.87817
28,105.0,85.76551
29,217.0,74.36099
30,4970.0,403.57645
31,4960.0,2459.8677
32,1840.0,1482.6559
33,938.99994,764.0241
34,803.0,460.7868
35,741.0,403.6648
36,697.0,376.65332
37,117.0,357.13614
38,105.0,80.312645
39,94.0,74.36099
40,89.0,68.902794
41,85.0,66.42106
42,81.0,64.43536
43,80.0,62.449413
44,429.0,65.88531
45,1380.0,546.17
46,1060.0,1550.7976
47,360.0,592.1416
48,212.0,199.64258
49,176.0,127.28809
50,154.0,114.778656
51,175.0,121.34194
52,170.0,138.7719
53,157.0,107.64961
54,140.0,111.998695
55,118.0,91.71071
56,104.0,80.80847
57,96.0,73.86489
58,90.0,69.895355
59,85.0,66.91744
60,82.0,64.43536
61,178.0,62.94591
62,463.0,269.4391
63,267.0,380.471
64,160.0,154.32256
65,135.0,107.14971
66,171.0,89.233986
67,299.0,145.48842
68,481.0,197.44069
69,959.0,475.95987
70,964.99994,1285.6936
71,439.0,471.36084
72,219.0,237.63596
73,172.0,130.73665
74,146.0,107.544655
75,309.0,94.68186
76,1620.0,614.9586
77,2240.0,1190.085
78,1030.0,1163.0492
79,682.0,724.3606
80,491.0,350.41898
81,266.0,262.33432
82,199.0,153.8324
83,167.0,120.87817
84,145.0,105.07269
85,130.0,94.186745
86,116.0,86.756615
87,105.0,79.816795
88,99.0,74.36099
89,97.0,71.38407
90,219.0,85.04308
91,996.0,303.2323
92,1440.0,1334.613
93,794.0,896.5835
94,366.0,399.78033
95,211.0,202.54607
96,164.0,126.79525
97,143.0,104.98007
98,130.0,95.13762
99,118.0,87.28929
100,108.0,80.80847
101,99.0,75.84919
102,96.0,71.38407
103,2560.0,69.895355
104,5310.0,5862.6353
105,1350.0,1570.1486
106,428.0,614.5781
107,220.0,232.37805
108,171.0,131.22911
109,146.0,107.05032
110,130.0,94.68186
111,122.00001,86.756615
112,149.0,85.46743
113,424.0,115.11236
114,392.0,503.1314
115,594.0,258.18735
116,810.0,992.2388
117,664.0,406.67734
118,248.00002,342.3169
119,169.0,145.00006
120,142.0,106.06158
121,127.0,92.701195
122,116.0,85.26991
123,108.0,79.816795
124,103.0,75.84919
125,98.0,73.36877
126,103.0,72.138275
127,140.0,83.0907
128,117.0,111.50603
129,101.0,80.312645
130,105.0,72.37646
131,1180.0,74.36099
132,4550.0,2039.0875
133,2750.0,2918.0159
134,909.0,983.00854
135,438.0,525.447
136,301.0,292.4868
137,186.0,170.95514
138,143.0,114.46167
139,120.99999,93.1964
140,108.0,82.29582
141,300.0,75.84919
142,1530.0,396.17194
143,765.0,673.3032
144,206.0,387.1788
145,137.0,124.33051
146,113.0,90.22475
147,99.0,78.3291
148,91.0,71.38407
149,86.0,67.4138
150,82.0,64.9318
151,88.0,62.94591
152,106.0,78.38415
153,314.0,96.2867
154,592.0,417.80237
155,1820.0,475.57086
156,1120.0,1220.6599
157,371.0,532.02496
158,174.0,204.96349
159,132.0,108.53322
160,112.0,87.747635
161,99.0,77.83317
162,92.0,71.38407
163,86.0,67.91014
164,82.0,64.9318
